CUDA Memory Cleared. Current VRAM Usage: 0.00 MB
On device cuda
Getting data loader crumb
Total unique classes found: 2
Label IDs: [0, 1]
Total images in dataset: 2003
Total batches: 86 (at batch size 16)

============================================================
Run 1/1  |  seed=42  |  results -> results/robust_classification/run_20260630_200816_seed42
============================================================

Training robust_classification for 5 epochs
  Batch   0 | t=[0,0] | loss=0.6800 | acc=8/16 | MISCLASSIFIED: [1] pred=1 true=0 t=0, [3] pred=0 true=1 t=0, [4] pred=0 true=1 t=0, [6] pred=0 true=1 t=0, [7] pred=0 true=1 t=0, [8] pred=0 true=1 t=0, [11] pred=1 true=0 t=0, [12] pred=1 true=0 t=0
  Batch   1 | t=[0,0] | loss=0.7114 | acc=8/16 | MISCLASSIFIED: [3] pred=1 true=0 t=0, [4] pred=1 true=0 t=0, [5] pred=0 true=1 t=0, [7] pred=0 true=1 t=0, [8] pred=0 true=1 t=0, [9] pred=0 true=1 t=0, [12] pred=0 true=1 t=0, [14] pred=1 true=0 t=0
  Batch   2 | t=[0,0] | loss=0.6907 | acc=7/16 | MISCLASSIFIED: [1] pred=1 true=0 t=0, [7] pred=1 true=0 t=0, [8] pred=1 true=0 t=0, [10] pred=0 true=1 t=0, [11] pred=0 true=1 t=0, [12] pred=1 true=0 t=0, [13] pred=1 true=0 t=0, [14] pred=1 true=0 t=0, [15] pred=1 true=0 t=0
  Batch   3 | t=[0,0] | loss=0.7174 | acc=8/16 | MISCLASSIFIED: [0] pred=1 true=0 t=0, [3] pred=1 true=0 t=0, [6] pred=0 true=1 t=0, [9] pred=1 true=0 t=0, [10] pred=1 true=0 t=0, [12] pred=1 true=0 t=0, [13] pred=1 true=0 t=0, [15] pred=1 true=0 t=0
  Batch   4 | t=[0,0] | loss=0.7036 | acc=8/16 | MISCLASSIFIED: [1] pred=1 true=0 t=0, [2] pred=1 true=0 t=0, [6] pred=1 true=0 t=0, [7] pred=1 true=0 t=0, [10] pred=1 true=0 t=0, [12] pred=1 true=0 t=0, [13] pred=1 true=0 t=0, [15] pred=1 true=0 t=0
  Batch   5 | t=[0,0] | loss=0.7461 | acc=9/16 | MISCLASSIFIED: [5] pred=1 true=0 t=0, [6] pred=1 true=0 t=0, [8] pred=1 true=0 t=0, [9] pred=1 true=0 t=0, [12] pred=1 true=0 t=0, [14] pred=1 true=0 t=0, [15] pred=1 true=0 t=0
  Batch   6 | t=[0,0] | loss=0.7175 | acc=9/16 | MISCLASSIFIED: [0] pred=1 true=0 t=0, [2] pred=1 true=0 t=0, [6] pred=0 true=1 t=0, [10] pred=1 true=0 t=0, [11] pred=0 true=1 t=0, [13] pred=1 true=0 t=0, [15] pred=1 true=0 t=0
  Batch   7 | t=[0,0] | loss=0.7065 | acc=7/16 | MISCLASSIFIED: [1] pred=0 true=1 t=0, [3] pred=1 true=0 t=0, [4] pred=0 true=1 t=0, [5] pred=0 true=1 t=0, [6] pred=1 true=0 t=0, [8] pred=1 true=0 t=0, [10] pred=1 true=0 t=0, [12] pred=0 true=1 t=0, [15] pred=1 true=0 t=0
  Batch   8 | t=[0,0] | loss=0.6125 | acc=12/16 | MISCLASSIFIED: [12] pred=0 true=1 t=0, [13] pred=0 true=1 t=0, [14] pred=1 true=0 t=0, [15] pred=0 true=1 t=0
  Batch   9 | t=[0,0] | loss=0.7270 | acc=8/16 | MISCLASSIFIED: [0] pred=0 true=1 t=0, [2] pred=0 true=1 t=0, [3] pred=0 true=1 t=0, [4] pred=0 true=1 t=0, [6] pred=0 true=1 t=0, [11] pred=0 true=1 t=0, [14] pred=0 true=1 t=0, [15] pred=0 true=1 t=0
  Batch  10 | t=[0,0] | loss=0.9428 | acc=5/16 | MISCLASSIFIED: [1] pred=0 true=1 t=0, [2] pred=0 true=1 t=0, [5] pred=0 true=1 t=0, [6] pred=0 true=1 t=0, [8] pred=0 true=1 t=0, [9] pred=0 true=1 t=0, [10] pred=0 true=1 t=0, [11] pred=0 true=1 t=0, [13] pred=0 true=1 t=0, [14] pred=0 true=1 t=0, [15] pred=0 true=1 t=0
